year,2.5,10.0,20.0,32.5,51.25,75.0,100.0,125.0,156.25,200.0,250.0,312.5,400.0,500.0,600.0,700.0,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1400.0,1537.5,1750.0,2062.5,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0
14,15.614591,15.59963,15.511089,15.245836,14.7211895,14.126393,13.678703,13.361412,13.05369,12.71772,12.381033,12.003326,11.435976,10.609268,9.611538,8.62893,7.871962,7.1995134,6.352362,5.412882,4.539496,3.839605,3.2899127,2.7222695,2.1962204,1.8552256,1.5391773,1.1938665,0.85580313,0.536014,0.3672771,0.33279422,0.256004,nan,nan
15,15.774425,15.762605,15.702468,15.5341625,15.040537,14.391232,13.917029,13.59196,13.280601,12.938017,12.587305,12.178834,11.549815,10.641998,9.597508,8.6347065,7.9163175,7.262866,6.417499,5.4842215,4.621405,3.9145706,3.35598,2.7835944,2.2358716,1.8733793,1.5496427,1.2036711,0.86822796,0.55055475,0.3675118,0.31987655,0.23898715,nan,nan
16,15.524594,15.511617,15.438933,15.200964,14.678499,14.053835,13.594148,13.294008,13.013419,12.718169,12.417476,12.054151,11.463869,10.570157,9.529895,8.597147,7.891066,7.2236366,6.3787837,5.455018,4.5978894,3.8885727,3.337057,2.7711031,2.2260072,1.8663753,1.5447364,1.199223,0.86374426,0.5491652,0.36556262,0.3130392,0.23454073,nan,nan
17,15.483983,15.470433,15.400119,15.181751,14.644195,13.98803,13.526601,13.216705,12.911851,12.583398,12.25427,11.885432,11.359773,10.579548,9.591964,8.667541,7.9144454,7.2125216,6.3848987,5.4686537,4.6000237,3.8942003,3.3451943,2.7719264,2.2203813,1.862917,1.5438192,1.1993259,0.8631421,0.5516183,0.36517885,0.3119035,0.23240255,nan,nan
18,15.57332,15.56048,15.494305,15.27094,14.736879,14.099681,13.661102,13.365194,13.066509,12.731146,12.390997,12.018181,11.470263,10.631943,9.584483,8.656061,7.9305115,7.2170854,6.368685,5.4469957,4.588604,3.8954372,3.358468,2.7931473,2.2307808,1.8612939,1.5395608,1.1985706,0.86524814,0.55386966,0.36216614,0.29552567,0.21530224,nan,nan
19,15.350175,15.335742,15.259956,15.05876,14.609433,13.990725,13.540515,13.237792,12.9391575,12.611798,12.282304,11.918418,11.417917,10.648946,9.603176,8.633079,7.8994083,7.1959867,6.343143,5.4216723,4.5637217,3.8812783,3.3535352,2.7924218,2.2385812,1.8659431,1.5398897,1.1975118,0.86786383,0.5552223,0.3579401,0.28817537,0.20927562,nan,nan
20,15.578668,15.562159,15.483043,15.240196,14.637099,13.922033,13.4667225,13.180354,12.900505,12.595594,12.285246,11.931344,11.436207,10.7141695,9.716408,8.723239,7.95888,7.2349367,6.4060717,5.5278025,4.6633782,3.9470265,3.4012704,2.828822,2.2515113,1.8684161,1.5400888,1.2002662,0.87236375,0.56055915,0.36116618,0.28427657,0.20659412,nan,nan
21,15.344958,15.329922,15.264117,15.056636,14.47761,13.706967,13.234025,12.947786,12.670775,12.37146,12.077136,11.761693,11.303679,10.629561,9.75204,8.781037,7.9592056,7.2312217,6.408529,5.54475,4.685088,3.9694922,3.4190044,2.8398929,2.2594047,1.8674346,1.5385727,1.2001507,0.8743922,0.5611866,0.36061922,0.2798293,0.20673503,nan,nan
22,15.382414,15.366478,15.275982,15.035475,14.547381,13.935292,13.477887,13.165989,12.860574,12.531124,12.202719,11.848806,11.325125,10.618809,9.735273,8.715037,7.8788443,7.168351,6.361313,5.52225,4.6513925,3.926565,3.387014,2.8079703,2.2336042,1.8590382,1.532462,1.1961074,0.87277335,0.5682936,0.36083555,0.27796343,0.20651528,nan,nan
23,15.314291,15.305791,15.250335,15.08306,14.634473,14.011013,13.565177,13.276611,12.992975,12.670112,12.3327675,11.949316,11.3911495,10.628614,9.6984415,8.706231,7.910698,7.2143908,6.4258447,5.580026,4.699067,3.960533,3.4073174,2.8184965,2.2303495,1.853992,1.5291073,1.1905643,0.8693071,0.56993705,0.36328647,0.28096083,0.2074963,nan,nan
