r0-300 r0-500 r0-400 r100-700 r200-1100 r150-800 r400-1000 r400-800 r400-600 r100-800 r100-400 r50-300 r150-400 r50-500 r50-400
1961 13.7102796666667 13.2813941071429 13.5065401923077 11.3197869 9.12260854545455 10.5456175888889 8.52631657142857 9.37349406 10.2730013333333 10.9839246636364 12.1453382142857 12.757385625 11.8209509 12.34752465 12.5689723888889
1962 13.986347375 13.5294083214286 13.7705768846154 11.5604921 9.25808995454545 10.7139355888889 8.60027307142857 9.42217886 10.3268206666667 11.2082973909091 12.480244 13.1434666875 12.0991714 12.67232815 12.9254516111111
1963 14.00932175 13.5428797857143 13.7896846153846 11.5896484 9.28770353636363 10.7384077222222 8.60208698571429 9.4029761 10.2867243333333 11.2373293181818 12.535683 13.186428875 12.1569656 12.6979887 12.9606077777778
1964 13.9423368333333 13.4769141428571 13.7265803846154 11.5987312 9.27317318181818 10.7325757111111 8.55763371428571 9.34609328 10.209596 11.2454985818182 12.5867887142857 13.233995625 12.2000436 12.7240721 13.001052
1965 13.7623779166667 13.3375200714286 13.5639400769231 11.5516452 9.32133115454545 10.7459283888889 8.68052052857143 9.4862377 10.34839 11.2118783181818 12.4403084285714 13.03574025 12.0929706 12.5862668 12.8298453333333
1966 13.8846124583333 13.4296376071429 13.6702745769231 11.5551104 9.31637524545454 10.7322925555556 8.66113 9.4370142 10.273016 11.2154025454545 12.4689395714286 13.105613125 12.1007564 12.6244482 12.8825694444444
1967 13.992853875 13.5357220357143 13.7789821923077 11.63165305 9.39173585454545 10.7992674555556 8.72512027142857 9.48273112 10.3417586666667 11.2873196454545 12.5656260714286 13.2161271875 12.1984547 12.73148795 12.9935043888889
1968 13.8248124166667 13.4028480714286 13.6317350769231 11.6301058 9.42617500909091 10.8364342222222 8.76755122857143 9.5416198 10.403678 11.2908332727273 12.5436962857143 13.11902675 12.2269232 12.6694338 12.9185578888889
1969 13.5511260833333 13.1495254285714 13.3636199230769 11.34914935 9.27559990909091 10.614999 8.70465992857143 9.4701175 10.3094831666667 11.0316932272727 12.1587977142857 12.726318875 11.8595899 12.3290394 12.5471218888889
1970 13.619598625 13.2241910357143 13.4365194230769 11.47300025 9.32868906363636 10.7133466666667 8.72160124285714 9.512891 10.3931043333333 11.1422884090909 12.3200409285714 12.8717285625 12.0190468 12.46773195 12.6903775
1971 13.7542868333333 13.3429885714286 13.5611390769231 11.4956875 9.35316586363636 10.7412795555556 8.76433245714285 9.5700352 10.435502 11.1692615454545 12.3221524285714 12.898491875 12.0129412 12.4938333 12.714589
1972 13.8236965 13.4197357857143 13.6352424615385 11.6024743 9.40756790909091 10.8243152222222 8.79061977142857 9.6036362 10.5250056666667 11.26267 12.463569 13.025216125 12.15489 12.6193672 12.8417247777778
1973 14.0581018333333 13.6400927857143 13.8613654615385 11.7926444 9.55169480909091 10.9885266666667 8.9287172 9.755175 10.683908 11.4438307272727 12.6581131428571 13.25063925 12.3242788 12.8269191 13.0561825555556
1974 14.0626116666667 13.63721 13.8609023846154 11.7582777 9.52939706363636 10.9549715555556 8.91723232857143 9.742542 10.6602456666667 11.4119069090909 12.6083795714286 13.23003725 12.264485 12.8009898 13.0311876666667
1975 14.0012177083333 13.5757040357143 13.8038914230769 11.7481596 9.47495549090909 10.9237158888889 8.81564991428571 9.6315348 10.5522606666667 11.395778 12.6616942857143 13.2554333125 12.318349 12.80887105 13.0532713888889
1976 14.2249312916667 13.77792775 14.0191531153846 11.89177735 9.5644625 11.0361224444444 8.86010142857143 9.668069 10.5964403333333 11.5303719090909 12.8633658571429 13.490689375 12.5069144 13.0117328 13.2750366666667
1977 13.95831775 13.5381313571429 13.7664370769231 11.7252439 9.48176075454545 10.917261 8.80779347142857 9.6104268 10.521307 11.3766822727273 12.6507485714286 13.227963125 12.3334168 12.7857731 13.0319526666667
1978 13.8788973333333 13.4632920714286 13.6851185384615 11.6577083 9.44567685454546 10.8609136 8.8158131 9.62265428 10.5104283333333 11.3174116727273 12.5340042857143 13.12631025 12.1989448 12.6949803 12.9300283333333
1979 13.9973945 13.5764957142857 13.8029997692308 11.7575879 9.49512287272727 10.9422327222222 8.83700455714286 9.6546523 10.5622296666667 11.4096718636364 12.6719131428571 13.258711125 12.3354192 12.8171895 13.0599946666667
1980 13.844564625 13.4429741785714 13.6578994230769 11.68331025 9.45234984545455 10.8838004222222 8.82023657142857 9.64050526 10.5566796666667 11.3393191636364 12.5639859285714 13.1412678125 12.2339189 12.71970055 12.9497843888889
1981 13.8985802916667 13.4952385714286 13.7091669615385 11.6949789 9.50271803636364 10.9179547222222 8.88427312857143 9.7097807 10.6222615 11.3553335454545 12.5422817857143 13.1148621875 12.2297792 12.7069274 12.9283449444444
1982 13.68692375 13.2983089285714 13.5035972307692 11.5529192 9.43821020909091 10.8118429555556 8.86646761428571 9.68510452 10.56176 11.2262179636364 12.3380791428571 12.9059315 12.0369486 12.5180692 12.7279034444444
1983 13.8025100833333 13.3981467857143 13.611942 11.6481343 9.44615011818182 10.8573679222222 8.82896461428571 9.65461766 10.5597356666667 11.3054715727273 12.4874605714286 13.0712215 12.1536696 12.6513706 12.8772107777778
1984 13.8654934583333 13.4575489285714 13.6751593076923 11.72113945 9.50069009090909 10.9200338333333 8.85362421428571 9.6670268 10.572735 11.3747356818182 12.5968725714286 13.1790555625 12.267264 12.7452208 12.9803993333333
1985 13.92464575 13.5065825714286 13.7304181538462 11.6884252 9.45854806363636 10.8857473666667 8.80450667142857 9.62556186 10.5362886666667 11.3415015727273 12.575485 13.1751305 12.2487208 12.7397451 12.977859
